# BUSCO version is: 6.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2024-01-08, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
721605at2759	Duplicated	KAM7425449.1	323.6	243	https://v10-1.orthodb.org/?query=721605at2759	NAD(P)-binding domain
722805at2759	Duplicated	KAM7425245.1	413.0	419	https://v10-1.orthodb.org/?query=722805at2759	WD40/YVTN repeat-like-containing domain superfamily
722805at2759	Duplicated	KAM7425246.1	408.4	416	https://v10-1.orthodb.org/?query=722805at2759	WD40/YVTN repeat-like-containing domain superfamily
734341at2759	Complete	KAM7448381.1	132.8	164	https://v10-1.orthodb.org/?query=734341at2759	ATP12, ATP synthase F1-assembly protein
734666at2759	Duplicated	KAM7434444.1	509.0	371	https://v10-1.orthodb.org/?query=734666at2759	60S ribosomal export protein NMD3
734666at2759	Duplicated	KAM7434445.1	508.7	371	https://v10-1.orthodb.org/?query=734666at2759	60S ribosomal export protein NMD3
736068at2759	Missing
751335at2759	Duplicated	KAM7435215.1	270.2	296	https://v10-1.orthodb.org/?query=751335at2759	ATPase, V1 complex, subunit H
751335at2759	Duplicated	KAM7425283.1	254.9	264	https://v10-1.orthodb.org/?query=751335at2759	ATPase, V1 complex, subunit H
751335at2759	Duplicated	KAM7425282.1	254.6	264	https://v10-1.orthodb.org/?query=751335at2759	ATPase, V1 complex, subunit H
759498at2759	Missing
761109at2759	Missing
768809at2759	Duplicated	KAM7430924.1	295.4	227	https://v10-1.orthodb.org/?query=768809at2759	Zinc finger C2H2-type
768809at2759	Duplicated	KAM7430923.1	294.6	227	https://v10-1.orthodb.org/?query=768809at2759	Zinc finger C2H2-type
768809at2759	Duplicated	KAM7430922.1	292.8	227	https://v10-1.orthodb.org/?query=768809at2759	Zinc finger C2H2-type
774318at2759	Complete	KAM7443174.1	348.4	272	https://v10-1.orthodb.org/?query=774318at2759	Dol-P-Man
777920at2759	Complete	KAM7430557.1	448.3	339	https://v10-1.orthodb.org/?query=777920at2759	Pescadillo
779909at2759	Duplicated	KAM7448420.1	279.3	227	https://v10-1.orthodb.org/?query=779909at2759	WD40 repeat
779909at2759	Duplicated	KAM7448421.1	279.3	227	https://v10-1.orthodb.org/?query=779909at2759	WD40 repeat
801857at2759	Complete	KAM7441312.1	237.2	210	https://v10-1.orthodb.org/?query=801857at2759	tRNA-dihydrouridine synthase
814241at2759	Missing
817008at2759	Duplicated	KAM7435818.1	494.5	298	https://v10-1.orthodb.org/?query=817008at2759	Aminoacyl-tRNA synthetase, class Ic
817008at2759	Duplicated	KAM7435819.1	494.2	298	https://v10-1.orthodb.org/?query=817008at2759	Aminoacyl-tRNA synthetase, class Ic
817008at2759	Duplicated	KAM7442403.1	488.9	298	https://v10-1.orthodb.org/?query=817008at2759	Aminoacyl-tRNA synthetase, class Ic
834694at2759	Complete	KAM7448085.1	453.9	330	https://v10-1.orthodb.org/?query=834694at2759	Mre11, DNA-binding
836599at2759	Complete	KAM7426859.1	427.7	316	https://v10-1.orthodb.org/?query=836599at2759	26S proteasome non-ATPase regulatory subunit 3
844748at2759	Duplicated	KAM7430944.1	333.9	364	https://v10-1.orthodb.org/?query=844748at2759	Bacterial surface antigen (D15)
844748at2759	Duplicated	KAM7430945.1	333.7	364	https://v10-1.orthodb.org/?query=844748at2759	Bacterial surface antigen (D15)
855834at2759	Complete	KAM7450438.1	258.5	311	https://v10-1.orthodb.org/?query=855834at2759	RNA polymerase I specific transcription initiation factor RRN3
858842at2759	Missing
865202at2759	Complete	KAM7440254.1	217.6	181	https://v10-1.orthodb.org/?query=865202at2759	Initiation factor 2B-related
866359at2759	Missing
869548at2759	Missing
878143at2759	Complete	KAM7446682.1	406.2	322	https://v10-1.orthodb.org/?query=878143at2759	CAAX prenyl protease 1
887370at2759	Missing
891751at2759	Duplicated	KAM7439425.1	276.1	231	https://v10-1.orthodb.org/?query=891751at2759	CCAAT-binding factor
891751at2759	Duplicated	KAM7427375.1	275.8	231	https://v10-1.orthodb.org/?query=891751at2759	CCAAT-binding factor
898782at2759	Missing
901894at2759	Complete	KAM7450858.1	331.5	329	https://v10-1.orthodb.org/?query=901894at2759	Mannosyltransferase
905026at2759	Complete	KAM7444722.1	401.8	400	https://v10-1.orthodb.org/?query=905026at2759	Tetratricopeptide repeat
911863at2759	Complete	KAM7440327.1	238.5	205	https://v10-1.orthodb.org/?query=911863at2759	Protein phosphatase methylesterase 1
917326at2759	Duplicated	KAM7446521.1	505.1	428	https://v10-1.orthodb.org/?query=917326at2759	Sec1-like protein
917326at2759	Duplicated	KAM7425260.1	504.8	428	https://v10-1.orthodb.org/?query=917326at2759	Sec1-like protein
918816at2759	Duplicated	KAM7444612.1	190.5	218	https://v10-1.orthodb.org/?query=918816at2759	DNA methyltransferase 1-associated 1
918816at2759	Duplicated	KAM7444611.1	190.3	218	https://v10-1.orthodb.org/?query=918816at2759	DNA methyltransferase 1-associated 1
919955at2759	Duplicated	KAM7428423.1	293.0	263	https://v10-1.orthodb.org/?query=919955at2759	26S Proteasome non-ATPase regulatory subunit 13
919955at2759	Duplicated	KAM7428424.1	293.0	263	https://v10-1.orthodb.org/?query=919955at2759	26S Proteasome non-ATPase regulatory subunit 13
919955at2759	Duplicated	KAM7452637.1	293.0	263	https://v10-1.orthodb.org/?query=919955at2759	26S Proteasome non-ATPase regulatory subunit 13
923657at2759	Complete	KAM7441127.1	155.7	168	https://v10-1.orthodb.org/?query=923657at2759	Surfeit locus 1/Shy1
924753at2759	Duplicated	KAM7425764.1	207.8	219	https://v10-1.orthodb.org/?query=924753at2759	tRNA guanosine-2'-O-methyltransferase, TRM11
924753at2759	Duplicated	KAM7439012.1	207.8	219	https://v10-1.orthodb.org/?query=924753at2759	tRNA guanosine-2'-O-methyltransferase, TRM11
924753at2759	Duplicated	KAM7431331.1	205.0	219	https://v10-1.orthodb.org/?query=924753at2759	tRNA guanosine-2'-O-methyltransferase, TRM11
931188at2759	Complete	KAM7451810.1	492.2	346	https://v10-1.orthodb.org/?query=931188at2759	Zinc finger, RING/FYVE/PHD-type
937275at2759	Complete	KAM7432276.1	64.1	87	https://v10-1.orthodb.org/?query=937275at2759	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit
937686at2759	Missing
939345at2759	Duplicated	KAM7444817.1	122.0	99	https://v10-1.orthodb.org/?query=939345at2759	Repressor of RNA polymerase III transcription MAF1
939345at2759	Duplicated	KAM7428975.1	121.9	99	https://v10-1.orthodb.org/?query=939345at2759	Repressor of RNA polymerase III transcription MAF1
939345at2759	Duplicated	KAM7444818.1	121.9	99	https://v10-1.orthodb.org/?query=939345at2759	Repressor of RNA polymerase III transcription MAF1
944899at2759	Duplicated	KAM7425789.1	385.7	232	https://v10-1.orthodb.org/?query=944899at2759	KRR1 small subunit processome component
944899at2759	Duplicated	KAM7443488.1	385.7	232	https://v10-1.orthodb.org/?query=944899at2759	KRR1 small subunit processome component
946128at2759	Missing
956854at2759	Complete	KAM7450802.1	192.4	172	https://v10-1.orthodb.org/?query=956854at2759	Tetratricopeptide repeat
973442at2759	Fragmented	KAM7424880.1	65.9	57	https://v10-1.orthodb.org/?query=973442at2759	Elongator complex protein 4
974865at2759	Complete	KAM7440894.1	266.8	228	https://v10-1.orthodb.org/?query=974865at2759	Brix domain
975158at2759	Complete	KAM7445306.1	257.2	274	https://v10-1.orthodb.org/?query=975158at2759	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit
975557at2759	Complete	KAM7432462.1	575.3	462	https://v10-1.orthodb.org/?query=975557at2759	cell division cycle 5-like protein
976469at2759	Complete	KAM7451921.1	219.0	232	https://v10-1.orthodb.org/?query=976469at2759	Eukaryotic translation initiation factor 3 subunit H
981902at2759	Duplicated	KAM7437493.1	217.3	215	https://v10-1.orthodb.org/?query=981902at2759	Winged helix-like DNA-binding domain superfamily
981902at2759	Duplicated	KAM7431632.1	216.7	215	https://v10-1.orthodb.org/?query=981902at2759	Winged helix-like DNA-binding domain superfamily
981902at2759	Duplicated	KAM7431633.1	216.2	215	https://v10-1.orthodb.org/?query=981902at2759	Winged helix-like DNA-binding domain superfamily
996662at2759	Missing
1001705at2759	Complete	KAM7450910.1	285.0	270	https://v10-1.orthodb.org/?query=1001705at2759	WD40 repeat
1003258at2759	Duplicated	KAM7441691.1	304.9	285	https://v10-1.orthodb.org/?query=1003258at2759	GPI mannosyltransferase 1
1003258at2759	Duplicated	KAM7441692.1	283.6	265	https://v10-1.orthodb.org/?query=1003258at2759	GPI mannosyltransferase 1
1010730at2759	Complete	KAM7428597.1	428.6	264	https://v10-1.orthodb.org/?query=1010730at2759	Winged helix-like DNA-binding domain superfamily
1014314at2759	Complete	KAM7430864.1	270.4	215	https://v10-1.orthodb.org/?query=1014314at2759	WD40-repeat-containing domain
1018517at2759	Complete	KAM7432969.1	310.7	205	https://v10-1.orthodb.org/?query=1018517at2759	Tetrapyrrole methylase
1019762at2759	Complete	KAM7429566.1	345.2	378	https://v10-1.orthodb.org/?query=1019762at2759	Signal recognition particle subunit SRP68
1025450at2759	Complete	KAM7436888.1	311.1	301	https://v10-1.orthodb.org/?query=1025450at2759	WD40 repeat
1030907at2759	Complete	KAM7438847.1	340.9	278	https://v10-1.orthodb.org/?query=1030907at2759	Golgi to ER traffic protein 4
1032689at2759	Complete	KAM7439672.1	199.5	156	https://v10-1.orthodb.org/?query=1032689at2759	tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14
1038775at2759	Complete	KAM7431145.1	184.7	203	https://v10-1.orthodb.org/?query=1038775at2759	Eukaryotic translation initiation factor 3 subunit F
1041560at2759	Duplicated	KAM7446181.1	222.5	258	https://v10-1.orthodb.org/?query=1041560at2759	Mitochondrial import inner membrane translocase subunit TIM44
1041560at2759	Duplicated	KAM7446182.1	201.5	235	https://v10-1.orthodb.org/?query=1041560at2759	Mitochondrial import inner membrane translocase subunit TIM44
1049599at2759	Complete	KAM7441531.1	388.8	300	https://v10-1.orthodb.org/?query=1049599at2759	WD40-repeat-containing domain
1051021at2759	Complete	KAM7441203.1	374.4	322	https://v10-1.orthodb.org/?query=1051021at2759	ALG11 mannosyltransferase
1053181at2759	Duplicated	KAM7427107.1	101.6	173	https://v10-1.orthodb.org/?query=1053181at2759	Checkpoint protein Hus1/Mec3
1053181at2759	Duplicated	KAM7427108.1	97.9	155	https://v10-1.orthodb.org/?query=1053181at2759	Checkpoint protein Hus1/Mec3
1053181at2759	Duplicated	KAM7442384.1	98.1	147	https://v10-1.orthodb.org/?query=1053181at2759	Checkpoint protein Hus1/Mec3
1053181at2759	Duplicated	KAM7442385.1	98.1	147	https://v10-1.orthodb.org/?query=1053181at2759	Checkpoint protein Hus1/Mec3
1057950at2759	Complete	KAM7439296.1	284.5	228	https://v10-1.orthodb.org/?query=1057950at2759	MEMO1 family
1065019at2759	Complete	KAM7438692.1	326.6	252	https://v10-1.orthodb.org/?query=1065019at2759	Diphosphomevalonate decarboxylase
1076134at2759	Complete	KAM7447348.1	271.8	186	https://v10-1.orthodb.org/?query=1076134at2759	F-actin-capping protein subunit alpha/beta
1079130at2759	Complete	KAM7442929.1	342.1	239	https://v10-1.orthodb.org/?query=1079130at2759	Glycosyl transferase, family 4
1079827at2759	Missing
1085752at2759	Complete	KAM7440631.1	249.5	224	https://v10-1.orthodb.org/?query=1085752at2759	Atg6/Beclin
1087488at2759	Complete	KAM7433735.1	279.6	286	https://v10-1.orthodb.org/?query=1087488at2759	CTLH, C-terminal LisH motif
1090038at2759	Complete	KAM7431194.1	160.6	138	https://v10-1.orthodb.org/?query=1090038at2759	Lipoyltransferase/lipoate-protein ligase
1094121at2759	Complete	KAM7442436.1	137.5	131	https://v10-1.orthodb.org/?query=1094121at2759	ESCRT-II complex, Vps25 subunit
1096688at2759	Complete	KAM7450472.1	356.1	213	https://v10-1.orthodb.org/?query=1096688at2759	GPN-loop GTPase
1106766at2759	Duplicated	KAM7428475.1	187.9	200	https://v10-1.orthodb.org/?query=1106766at2759	Nuclear pore localisation protein NPL4, C-terminal
1106766at2759	Duplicated	KAM7432718.1	187.6	200	https://v10-1.orthodb.org/?query=1106766at2759	Nuclear pore localisation protein NPL4, C-terminal
1107630at2759	Complete	KAM7435407.1	282.2	208	https://v10-1.orthodb.org/?query=1107630at2759	Dolichyl-phosphate beta-glucosyltransferase
1108845at2759	Duplicated	KAM7446553.1	519.1	328	https://v10-1.orthodb.org/?query=1108845at2759	COP9 signalosome complex subunit 2
1108845at2759	Duplicated	KAM7446554.1	518.7	328	https://v10-1.orthodb.org/?query=1108845at2759	COP9 signalosome complex subunit 2
1111142at2759	Complete	KAM7445152.1	280.2	287	https://v10-1.orthodb.org/?query=1111142at2759	Transcription factor IIIC subunit 5, HTH domain
1112002at2759	Missing
1115196at2759	Fragmented	KAM7440544.1	82.0	156	https://v10-1.orthodb.org/?query=1115196at2759	Ferrodoxin-fold anticodon-binding domain
1128607at2759	Complete	KAM7432424.1	361.0	252	https://v10-1.orthodb.org/?query=1128607at2759	Electron transfer flavoprotein, alpha subunit, C-terminal
1129824at2759	Complete	KAM7445660.1	133.7	134	https://v10-1.orthodb.org/?query=1129824at2759	Co-chaperone Hsc20
1138059at2759	Complete	KAM7452056.1	319.9	208	https://v10-1.orthodb.org/?query=1138059at2759	Methyltransferase type 11
1157302at2759	Complete	KAM7437554.1	372.8	204	https://v10-1.orthodb.org/?query=1157302at2759	Eukaryotic translation initiation factor 6
1161199at2759	Complete	KAM7440701.1	145.0	174	https://v10-1.orthodb.org/?query=1161199at2759	Coatomer subunit epsilon
1173229at2759	Complete	KAM7435026.1	177.2	201	https://v10-1.orthodb.org/?query=1173229at2759	WD40 repeat
1178688at2759	Complete	KAM7440181.1	118.7	138	https://v10-1.orthodb.org/?query=1178688at2759	ATPase, OSCP/delta subunit
1182451at2759	Duplicated	KAM7426760.1	169.9	153	https://v10-1.orthodb.org/?query=1182451at2759	SNARE
1182451at2759	Duplicated	KAM7426761.1	169.8	153	https://v10-1.orthodb.org/?query=1182451at2759	SNARE
1193442at2759	Complete	KAM7449871.1	348.1	261	https://v10-1.orthodb.org/?query=1193442at2759	Bystin
1194691at2759	Duplicated	KAM7431989.1	396.3	276	https://v10-1.orthodb.org/?query=1194691at2759	26S Proteasome non-ATPase regulatory subunit 6
1194691at2759	Duplicated	KAM7431990.1	396.3	276	https://v10-1.orthodb.org/?query=1194691at2759	26S Proteasome non-ATPase regulatory subunit 6
1194797at2759	Complete	KAM7447492.1	496.9	442	https://v10-1.orthodb.org/?query=1194797at2759	Eukaryotic translation initiation factor 3 subunit B
1197019at2759	Complete	KAM7440682.1	171.0	148	https://v10-1.orthodb.org/?query=1197019at2759	HORMA domain
1200489at2759	Complete	KAM7447727.1	127.3	111	https://v10-1.orthodb.org/?query=1200489at2759	Exosome complex component CSL4, C-terminal
1217666at2759	Complete	KAM7449519.1	258.2	178	https://v10-1.orthodb.org/?query=1217666at2759	Ribosome maturation protein SBDS, N-terminal
1220881at2759	Complete	KAM7436540.1	147.8	153	https://v10-1.orthodb.org/?query=1220881at2759	TFIIH subunit Tfb4/GTF2H3
1222562at2759	Complete	KAM7447542.1	162.0	116	https://v10-1.orthodb.org/?query=1222562at2759	Ribosome biogenesis protein
1223488at2759	Complete	KAM7438792.1	77.1	111	https://v10-1.orthodb.org/?query=1223488at2759	OPI10 family
1228942at2759	Complete	KAM7437161.1	214.1	164	https://v10-1.orthodb.org/?query=1228942at2759	Proteasome subunit beta
1233814at2759	Complete	KAM7441574.1	239.2	155	https://v10-1.orthodb.org/?query=1233814at2759	Vacuolar protein sorting-associated protein 29
1236198at2759	Complete	KAM7438878.1	205.5	126	https://v10-1.orthodb.org/?query=1236198at2759	G10 protein
1247641at2759	Duplicated	KAM7426289.1	155.3	147	https://v10-1.orthodb.org/?query=1247641at2759	N-acetylglucosaminyl transferase component
1247641at2759	Duplicated	KAM7432953.1	155.2	147	https://v10-1.orthodb.org/?query=1247641at2759	N-acetylglucosaminyl transferase component
1248958at2759	Complete	KAM7451960.1	678.5	639	https://v10-1.orthodb.org/?query=1248958at2759	Exportin-2, central domain
1249159at2759	Complete	KAM7443677.1	182.1	152	https://v10-1.orthodb.org/?query=1249159at2759	GINS complex, subunit Psf1
1251252at2759	Duplicated	KAM7433482.1	89.0	83	https://v10-1.orthodb.org/?query=1251252at2759	Mediator complex, subunit Med6
1251252at2759	Duplicated	KAM7425704.1	87.9	82	https://v10-1.orthodb.org/?query=1251252at2759	Mediator complex, subunit Med6
1257440at2759	Duplicated	KAM7437495.1	166.5	129	https://v10-1.orthodb.org/?query=1257440at2759	PUA domain
1257440at2759	Duplicated	KAM7431630.1	166.3	129	https://v10-1.orthodb.org/?query=1257440at2759	PUA domain
1257440at2759	Duplicated	KAM7431631.1	166.0	129	https://v10-1.orthodb.org/?query=1257440at2759	PUA domain
1257440at2759	Duplicated	KAM7431629.1	165.9	129	https://v10-1.orthodb.org/?query=1257440at2759	PUA domain
1257440at2759	Duplicated	KAM7437494.1	165.9	129	https://v10-1.orthodb.org/?query=1257440at2759	PUA domain
1258856at2759	Complete	KAM7426321.1	688.0	609	https://v10-1.orthodb.org/?query=1258856at2759	Vps16, C-terminal
1259741at2759	Complete	KAM7428537.1	404.3	237	https://v10-1.orthodb.org/?query=1259741at2759	GPI-anchor transamidase
1260807at2759	Complete	KAM7430053.1	269.6	222	https://v10-1.orthodb.org/?query=1260807at2759	Protohaem IX farnesyltransferase
1264469at2759	Complete	KAM7441046.1	170.2	152	https://v10-1.orthodb.org/?query=1264469at2759	Ubiquinone biosynthesis protein Coq4
1266231at2759	Complete	KAM7441028.1	298.9	189	https://v10-1.orthodb.org/?query=1266231at2759	Ribosomal biogenesis, methyltransferase, EMG1/NEP1
